scorer,DLC_resnet101_multipointsFeb7shuffle1_26000.3,DLC_resnet101_multipointsFeb7shuffle1_26000.4,DLC_resnet101_multipointsFeb7shuffle1_26000.5,DLC_resnet101_multipointsFeb7shuffle1_26000.9,DLC_resnet101_multipointsFeb7shuffle1_26000.10,DLC_resnet101_multipointsFeb7shuffle1_26000.11,DLC_resnet101_multipointsFeb7shuffle1_26000.39,DLC_resnet101_multipointsFeb7shuffle1_26000.40,DLC_resnet101_multipointsFeb7shuffle1_26000.41,DLC_resnet101_multipointsFeb7shuffle1_26000.42,DLC_resnet101_multipointsFeb7shuffle1_26000.43,DLC_resnet101_multipointsFeb7shuffle1_26000.44,DLC_resnet101_multipointsFeb7shuffle1_26000.45,DLC_resnet101_multipointsFeb7shuffle1_26000.46,DLC_resnet101_multipointsFeb7shuffle1_26000.47
bodyparts,bodypart2,bodypart2,bodypart2,bodypart4,bodypart4,bodypart4,bodypart14,bodypart14,bodypart14,bodypart15,bodypart15,bodypart15,bodypart16,bodypart16,bodypart16
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
9,1207.317993,658.4559326,0.788767099,1210.263062,635.307373,0.023693293,1203.133179,658.0136108,0.08172635,1213.60144,673.6574707,0.016668454,743.1323853,214.5094604,0.038014099
10,1207.200439,660.4638672,0.756008446,1210.817993,634.9532471,0.019040434,1202.559937,658.0507202,0.061792865,1201.669678,694.9909058,0.024324169,743.1126099,214.6171265,0.036615115
11,1206.968994,662.0390015,0.729229391,1194.140503,647.9956665,0.018380953,1202.473633,658.937561,0.061309163,1202.433594,695.6565552,0.018501272,743.1196289,214.6082611,0.036232118
12,1206.144531,663.1976318,0.712863564,430.8623047,862.9802856,0.017590631,1202.056396,658.9280396,0.058754161,1199.427368,708.9667358,0.01737459,743.0799561,214.6082916,0.036247183
13,1206.392944,663.1551514,0.743934095,1192.084595,716.4552002,0.019834617,1203.015259,659.0105591,0.056993105,1198.647095,709.1401978,0.027191635,743.2858887,214.4898224,0.038967382
14,1205.499146,664.2424927,0.725096226,1191.640015,715.8950806,0.028566996,1203.661621,669.6846313,0.054441769,1197.800049,709.4967651,0.041304074,743.2962036,214.4779053,0.040949635
15,1203.795776,666.1542969,0.735060334,1198.157959,638.6257935,0.020059258,1217.289917,676.9442749,0.082411081,1197.188354,709.1257935,0.027231479,743.380249,214.401947,0.041135635
16,1201.827637,666.5703735,0.669813275,1200.208252,636.9146118,0.029692044,1201.385498,664.3230591,0.097733669,1195.838135,708.3598022,0.021971934,743.3885498,214.2553253,0.039884511
17,1201.84668,672.0820313,0.782518685,1200.489502,636.6218262,0.044143375,1201.920776,665.6539307,0.102325298,1195.215576,708.3431396,0.019927688,743.3392944,214.2904053,0.038320262
18,1192.208496,672.0133057,0.854707837,1204.109009,635.1945801,0.047978047,1202.683594,666.6991577,0.128935158,1195.453003,708.1865845,0.020811008,743.28479,214.3124847,0.038435377
19,1190.637695,672.7318115,0.904585063,1204.022095,633.600647,0.117707014,1202.174805,676.2713013,0.19567202,1194.697998,707.5219116,0.024623157,743.2377319,214.3074951,0.036954563
20,1189.112427,673.7207642,0.889997005,1200.18811,632.5925903,0.127772287,1201.850708,676.6310425,0.217888802,1193.007568,708.2602539,0.029471468,743.2591553,214.4939575,0.038116809
21,1187.505371,675.7097778,0.91487813,1204.147461,632.2562866,0.294644386,1202.214722,677.4616699,0.44481039,1191.595947,708.9361572,0.027539929,743.0940552,214.4926605,0.036974583
22,1184.629639,676.9205322,0.864487946,1206.191895,633.0581665,0.557602167,1201.461182,678.6661377,0.509580255,1191.690674,709.3242188,0.029841401,743.0065918,214.5289917,0.033367716
23,1178.720337,677.6825562,0.874792576,1206.60022,633.0073242,0.589341462,1200.36438,679.9552002,0.569291115,1191.455078,709.7160034,0.03492311,743.0969238,214.5351563,0.031641178
24,1176.717407,680.0377197,0.890844524,1205.608276,633.1281738,0.660114169,1197.356934,680.0009766,0.516976595,1190.398315,708.9454956,0.026911486,743.3158569,214.5223541,0.033659503
