Unnamed: 0,bodypart2_x,bodypart2_y,bodypart2_p,bodypart4_x,bodypart4_y,bodypart4_p,bodypart14_x,bodypart14_y,bodypart14_p,bodypart15_x,bodypart15_y,bodypart15_p,bodypart16_x,bodypart16_y,bodypart16_p,Fish_mid_x,Fish_mid_y,Fish_mid_p
165,1002.9119,692.19244,0.88165826,1080.4324,645.24695,0.83742183,1029.5953,697.8902,0.77602804,1202.9456,699.16205,0.49022004,1215.4293,693.4244,0.8478514,1128.2622,694.2022,
166,1002.49,691.9442,0.8875646,1078.8066,645.6316,0.8249184,1028.4109,697.64886,0.76758516,1201.9772,699.2707,0.4852853,1214.9861,693.798,0.8245411,1126.2822,694.2578,
167,1001.2089,691.9511,0.89041495,1077.3783,645.3043,0.8381101,1027.0045,697.2843,0.77991414,1203.6174,696.60175,0.5054702,1213.763,693.99066,0.79825073,1125.168,693.7645,
168,1000.2512,692.4602,0.88929874,1076.3176,645.2629,0.814229,1026.1598,697.88214,0.75962377,1202.8492,696.3415,0.522623,1211.4438,692.8629,0.74284154,1122.1974,693.5404,
169,999.693,692.1903,0.8984537,1076.8959,645.3362,0.8232283,1025.8083,697.7476,0.7739014,1201.8881,696.72406,0.5524553,1210.8638,693.306,0.72644883,1121.45,693.7129,
170,999.735,691.7736,0.8942453,1076.7229,645.1665,0.8323026,1025.3717,697.4365,0.7678069,1201.3048,696.9297,0.5720667,1210.0879,693.4491,0.6947521,1120.7191,693.6771,
171,999.08936,692.104,0.89855725,1076.3263,645.013,0.8172121,1024.9635,697.29224,0.76739764,1199.8707,696.92725,0.5612851,1210.1858,697.33466,0.6606543,1118.0037,695.0103,
172,998.3112,691.7336,0.8911218,1075.09,645.8105,0.7856395,1024.1294,696.68835,0.73246413,1196.2789,698.3653,0.52174985,1208.8539,702.82294,0.6529017,1114.8551,696.9134,
173,997.25946,691.9152,0.89231986,1069.3711,645.36334,0.75397724,1023.1913,696.8045,0.7285128,1195.7631,698.35614,0.5469367,1207.7959,702.8001,0.67168885,1115.6821,697.04755,
174,997.041,691.9889,0.8917362,1068.3932,645.30365,0.7781227,1022.8531,696.5739,0.72371566,1193.5054,698.16327,0.5817985,1209.2977,696.5039,0.7646442,1120.6252,695.13635,
175,995.58936,691.0882,0.8841698,1067.6781,645.3866,0.78871715,1021.9323,695.5956,0.71076006,1193.1277,698.5739,0.52019805,1208.301,696.5813,0.7736043,1118.3245,694.8273,
176,994.69794,690.7861,0.87464416,1067.8269,645.90295,0.7791193,1021.63574,695.30145,0.69590694,1191.7501,699.67255,0.48186463,1206.9729,697.36237,0.7670521,1116.0876,695.178,
177,993.7396,690.5108,0.85294497,1066.7252,646.22424,0.7955955,1021.2454,695.13116,0.67761004,1191.1056,699.2915,0.53671765,1206.1389,697.329,0.81074685,1120.1396,695.16473,
178,992.87726,690.20245,0.8411711,1064.6897,646.2109,0.7900391,1020.5902,694.89703,0.6600781,1190.648,702.0441,0.5253863,1204.5698,702.07306,0.81493133,1119.5894,697.48883,
179,991.4555,690.49615,0.82710713,1062.7711,646.3033,0.7824766,1016.404,698.133,0.7012454,1189.5919,699.70245,0.5697049,1203.9312,701.7156,0.84702945,1121.9694,697.06885,
180,990.67914,690.31335,0.81942886,1062.4973,645.748,0.7850913,1016.1642,697.21564,0.71763283,1188.7245,703.6092,0.5329023,1202.6807,702.32764,0.85883075,1120.7521,698.18414,
181,990.4867,690.1512,0.8163451,1063.2599,646.0913,0.7976243,1016.7202,697.84937,0.7370366,1187.9764,701.951,0.51809233,1202.4248,701.87354,0.8315564,1119.0912,697.474,
182,988.516,690.60736,0.81955993,1065.0414,646.15643,0.81606317,1016.5101,697.1,0.73792684,1187.2688,701.9501,0.53220916,1201.4868,702.0695,0.83157057,1118.0782,697.73785,
183,988.48096,690.1427,0.83462083,1065.2657,646.1095,0.8355467,1015.7485,696.02045,0.77431643,1186.7219,701.7475,0.58542496,1200.7793,701.808,0.84958273,1119.0839,697.5026,
184,988.08795,690.0185,0.83347076,1064.1091,646.64734,0.7929096,1014.93713,695.6798,0.7897838,1187.3423,703.02466,0.59428334,1200.0027,701.8475,0.83577496,1118.6481,697.8009,
185,988.02765,689.86316,0.84119594,1064.0403,646.2937,0.80300874,1013.98474,695.7337,0.7942997,1187.3531,703.3743,0.5969695,1199.9165,701.8973,0.8291566,1117.9961,697.8214,
186,987.659,690.0705,0.8661326,1064.8019,645.38934,0.81494975,1013.0868,696.09393,0.7843977,1186.4747,703.4969,0.6244833,1198.5127,702.1598,0.83539665,1116.7656,698.0171,
187,987.12463,688.6546,0.8538749,1065.7196,645.3274,0.81512195,1013.1676,695.5654,0.78177667,1185.3517,703.57794,0.65282685,1197.0494,702.8008,0.8224295,1116.8109,697.8325,
188,986.4399,688.81506,0.87077105,1065.9104,644.9123,0.8099018,1013.0865,695.59174,0.787641,1184.3446,703.38403,0.6341714,1195.5463,703.04974,0.75325084,1111.768,697.65466,
189,985.7003,688.4767,0.87704754,1065.638,645.1714,0.83823395,1012.4078,695.3657,0.804221,1183.7952,703.3507,0.6233746,1193.958,705.89276,0.7484964,1109.9233,698.3961,
190,985.0315,687.7654,0.8728435,1064.0074,644.83716,0.82827,1011.9288,695.3614,0.8025538,1183.367,703.4511,0.6562709,1193.5059,706.0384,0.7668157,1111.352,698.352,
191,984.1219,687.9894,0.86299545,1062.8519,645.73956,0.8234703,1011.5191,695.9042,0.80305827,1182.5668,703.36584,0.6173508,1192.3167,705.7266,0.75228024,1109.1455,698.2177,
192,983.89435,688.94977,0.8726871,1061.7024,645.317,0.7948239,1010.62,695.43396,0.79664636,1182.0201,703.44525,0.6219012,1191.7302,706.0192,0.7473383,1108.135,698.6608,
193,983.3301,688.1398,0.8612759,1060.0913,644.68164,0.80150396,1010.25446,694.5676,0.8064173,1180.9619,704.5328,0.60628706,1194.7332,705.1824,0.7665827,1109.4989,698.4361,
194,983.00433,688.0329,0.8572216,1056.3982,644.38715,0.78040004,1009.8704,693.7723,0.8142489,1179.9811,704.53503,0.64074236,1193.9321,704.6924,0.82159066,1112.1272,698.4922,
195,982.676,687.5576,0.855342,1056.3887,644.2657,0.7984202,1009.7468,694.3786,0.8090593,1179.5212,704.97314,0.66791415,1193.3431,704.88873,0.84145385,1113.2385,698.64374,
196,981.52924,688.1556,0.8574048,1056.4092,644.3519,0.8197447,1008.73944,693.5555,0.7854224,1178.1458,704.96027,0.66994643,1192.2831,704.8337,0.86912936,1112.9281,698.90204,
197,980.6805,687.6805,0.84779316,1056.7106,645.3655,0.830255,1008.73456,692.9781,0.7894041,1176.9886,705.1231,0.6881932,1191.975,704.93335,0.8903178,1113.8943,698.95874,
198,980.2889,687.03937,0.8362721,1055.1809,645.05176,0.84570116,1009.0279,693.165,0.7864866,1175.7993,705.561,0.6875182,1191.0771,705.0024,0.8992073,1113.9907,698.9611,
199,979.82965,686.9022,0.8375313,1054.6604,643.80237,0.8481624,1008.5646,693.17725,0.7755514,1174.6398,705.77185,0.67146355,1190.0247,705.21204,0.908411,1112.9275,699.0239,
200,979.6857,686.06995,0.8243278,1053.1702,643.4591,0.84301114,1007.6385,692.2632,0.7474807,1173.4772,705.88586,0.67045593,1188.8125,705.18713,0.9135062,1112.9617,698.8381,
201,978.507,685.3644,0.82061845,1053.9907,642.7273,0.8430645,1007.4699,692.0347,0.7395134,1172.795,705.72955,0.6777768,1188.2775,704.9072,0.9238082,1112.8771,698.5164,
202,978.0466,685.0997,0.82395774,1053.8765,642.5342,0.83419615,1007.0562,691.7158,0.70554894,1172.2609,705.29694,0.66981727,1187.7896,704.40735,0.92299694,1111.9774,698.0713,
203,976.6862,685.06,0.8225754,1052.8506,643.0421,0.8578178,1005.59894,690.7224,0.6639903,1172.8505,704.5675,0.67257726,1187.2681,704.2203,0.91798764,1111.4679,697.7858,
204,975.7738,685.0281,0.8116826,1052.9574,643.78357,0.8443962,1001.58154,693.6912,0.68364656,1172.4445,704.64575,0.6744626,1186.6117,704.2238,0.91470563,1111.3514,697.8526,
205,975.4302,684.23663,0.8197845,1052.3783,643.005,0.84761417,1001.6976,692.8711,0.6870781,1171.6998,704.0922,0.67826533,1186.3756,704.12506,0.9153104,1110.5958,697.36,
206,974.708,684.06506,0.8181463,1050.2498,642.96027,0.85346454,1000.96124,692.9156,0.71574885,1171.2179,703.7623,0.686563,1186.2448,703.7585,0.9185849,1110.5688,697.1107,
207,974.0419,683.69507,0.813894,1048.8619,642.5268,0.83858275,1000.1504,692.81415,0.7382019,1170.8579,704.2413,0.72372687,1185.7517,703.71454,0.92403704,1111.3756,697.25037,
208,973.4607,683.3564,0.8134348,1048.1013,642.5669,0.82876927,999.3631,692.58966,0.7456014,1170.6404,704.2801,0.7043152,1185.4552,703.7319,0.9244943,1110.5741,697.1035,
209,973.09326,683.3316,0.8220485,1048.4204,641.9778,0.83194023,998.22986,692.005,0.7640058,1169.9424,704.17334,0.73903203,1184.9451,703.76917,0.9296342,1110.5729,697.1438,
210,972.9488,682.55676,0.8146167,1048.9011,641.557,0.8368991,998.1017,691.572,0.7676971,1167.964,703.99243,0.70251924,1183.9846,703.616,0.91896474,1108.7955,696.6825,
211,972.0622,682.22644,0.80692714,1048.7805,641.4262,0.83232975,997.48627,692.09076,0.778357,1167.4458,704.20874,0.6863199,1182.8549,703.5233,0.90289813,1107.4546,696.54767,
212,972.63684,681.03955,0.7888289,1048.0585,640.95306,0.819505,996.5168,692.41943,0.8011109,1166.6019,704.26587,0.66263163,1181.3599,703.1615,0.87714154,1106.4541,695.9818,
213,971.82574,680.2996,0.81477594,1046.4845,640.5874,0.80665207,995.9415,692.06647,0.8059634,1166.1388,703.64526,0.6339805,1180.8649,703.3306,0.8413115,1102.4148,695.22363,
214,969.5569,680.0456,0.8114913,1046.391,640.3566,0.7988747,995.63696,691.7456,0.79505056,1165.3888,703.218,0.6170249,1179.9392,703.2642,0.7732341,1098.3217,694.69366,
215,968.791,680.19073,0.82735,1046.224,640.46765,0.787214,994.8058,691.2834,0.7972421,1163.9908,702.944,0.64205194,1176.8356,704.8783,0.7477731,1095.4832,695.10583,
216,968.1365,680.10236,0.8307804,1044.3827,641.06305,0.7621973,994.02765,690.89734,0.79871166,1163.4454,703.1394,0.61363375,1178.6655,703.93176,0.73865896,1094.2694,694.6406,
217,967.702,680.5178,0.8179269,1044.1644,641.4054,0.7465194,994.00214,691.3303,0.79799163,1163.0607,702.7839,0.6236301,1178.4425,703.6895,0.7799204,1096.5317,694.9037,
218,967.4611,680.3911,0.83197635,1039.891,640.5221,0.82050794,993.2563,690.7975,0.80222344,1162.3397,701.9734,0.6198843,1177.16,703.8338,0.82588655,1096.5315,694.7648,
219,966.91077,680.76904,0.8452316,1038.8353,639.26544,0.79784113,992.86487,690.12213,0.7979534,1161.7192,702.134,0.6648721,1176.8274,703.80365,0.85402715,1097.5284,695.0987,
220,966.2514,680.90466,0.8370802,1037.213,639.2733,0.7981737,992.371,689.48004,0.76576555,1160.0596,702.3447,0.6292468,1175.3859,703.639,0.86167014,1096.0446,695.11456,
221,965.5178,680.6935,0.85801506,1038.1309,640.2245,0.8195274,992.04364,689.42847,0.74211824,1159.4261,702.1951,0.6409433,1174.966,703.05554,0.87426794,1095.0453,694.7384,
222,964.54706,680.3468,0.85129565,1037.0522,640.25525,0.8158124,991.85547,689.10144,0.71641076,1158.479,702.077,0.6148442,1174.0957,702.9191,0.8762884,1093.8416,694.49475,
223,963.77893,680.5258,0.8492539,1035.8374,639.0547,0.789669,990.71936,688.9185,0.6903365,1157.9263,701.32367,0.60655636,1173.382,702.60583,0.87989503,1093.1573,694.2446,
224,962.9048,680.1956,0.83117014,1032.7512,638.2452,0.7723121,990.4206,688.7144,0.65091103,1156.9249,701.23944,0.6376751,1172.4633,702.547,0.8892463,1094.3971,694.31506,
225,962.7562,679.844,0.85051197,1033.3783,639.0695,0.80911183,989.4201,688.12976,0.6269977,1156.4999,701.6427,0.6964203,1172.2727,702.44275,0.9016308,1095.0107,694.3655,
226,961.7203,679.0852,0.83386314,1031.7279,637.85754,0.8090187,984.9045,690.1962,0.64618945,1156.3533,701.8872,0.718615,1171.544,702.127,0.9080562,1095.9991,694.2482,
227,960.8753,678.4116,0.8247492,1031.9646,638.0751,0.8084961,984.5731,689.7132,0.6679747,1155.7102,701.8055,0.71570873,1171.3608,702.0172,0.907131,1095.8584,694.00104,
228,960.23083,678.31616,0.8175477,1029.727,637.7798,0.78391075,983.9742,689.5334,0.67790675,1154.8181,702.37054,0.66335446,1170.5156,702.2189,0.89419425,1093.7478,694.0335,
229,959.34454,678.22095,0.82066435,1028.6774,636.7303,0.7556316,983.50494,689.44183,0.6964575,1154.5641,702.24554,0.7119185,1170.2887,702.29565,0.9022526,1094.592,694.16656,
230,958.1375,678.0061,0.79344183,1029.3185,634.6491,0.7435256,983.0005,688.6172,0.715884,1154.6061,701.81683,0.71281636,1169.9325,702.0612,0.89949787,1095.5393,694.0552,
231,957.4561,676.82825,0.8056739,1028.0488,636.8576,0.781916,982.15674,688.65594,0.7382791,1153.5292,701.64636,0.68717223,1169.0017,702.2292,0.8888694,1092.977,693.46857,
232,956.4603,676.3995,0.8039501,1027.1191,637.33105,0.78930587,981.55347,687.70056,0.74788755,1152.3359,701.6245,0.6396532,1167.8876,702.40106,0.8676556,1090.0405,693.1417,
233,955.6411,675.6475,0.827861,1027.2135,637.45264,0.7965659,981.5297,687.4812,0.74025875,1151.3984,701.8154,0.6850231,1167.1458,702.4025,0.87367934,1089.2582,692.9531,
234,954.8858,675.38055,0.84517807,1025.3793,637.6989,0.7507009,981.13043,686.51605,0.7384684,1150.6301,701.99603,0.6963207,1165.9608,702.36566,0.854608,1087.0532,692.7398,
235,954.12415,675.253,0.8544235,1024.8342,637.4869,0.73902047,980.7945,686.3354,0.7322999,1150.2958,701.55115,0.6967339,1164.9508,701.89496,0.81262934,1084.4249,692.1635,
236,953.0331,674.61316,0.8587282,1026.453,634.10016,0.70620704,979.6779,684.15027,0.72896355,1149.8037,701.51074,0.68232375,1162.0186,704.2646,0.7463775,1079.9193,692.31165,
237,952.47565,674.5939,0.8709897,1026.7977,634.18787,0.72703975,979.1157,684.15906,0.7473944,1148.7753,701.1031,0.71678287,1161.0813,703.6648,0.7619653,1080.0024,692.1075,
238,951.6725,674.37006,0.86659354,1024.9991,637.26416,0.6950777,978.7772,683.3116,0.7483712,1148.0847,701.4523,0.6746444,1163.3378,704.0258,0.7794939,1079.8649,692.2038,
239,951.0496,674.31213,0.8620202,1026.079,633.54974,0.70633453,977.8262,682.4322,0.7446099,1147.0544,701.8969,0.6489272,1162.729,703.89636,0.83556414,1080.6311,692.4753,
240,949.969,674.137,0.8612609,1020.05005,634.3395,0.68111676,976.87555,681.77277,0.7608054,1146.4094,702.1648,0.5962435,1160.7764,703.81396,0.85582584,1078.5891,692.3401,
241,950.1659,673.7683,0.86873835,1021.265,632.2645,0.68194324,976.60364,681.88635,0.7546241,1145.0289,702.6088,0.59847677,1159.9886,703.8684,0.87668365,1078.4006,692.39056,
242,948.9918,673.79333,0.8699538,1020.92664,632.54004,0.7466962,975.796,681.4621,0.73583466,1143.98,702.84357,0.6287965,1159.5933,703.8337,0.9015703,1079.1744,692.6867,
243,948.2629,673.4148,0.8658001,1024.9526,632.5801,0.74088866,975.36316,680.8594,0.72154593,1143.9982,702.77167,0.6311453,1159.625,703.766,0.89838123,1079.1099,692.53345,
244,947.34094,672.8141,0.8423696,1020.7983,632.8208,0.7330045,974.8936,680.21545,0.71038336,1143.695,703.0276,0.6273816,1158.9614,703.5615,0.9048128,1079.8561,692.5129,
245,946.479,672.29486,0.82488865,1021.27356,632.7125,0.738221,974.17786,679.99554,0.6709527,1143.6794,702.93024,0.66417545,1158.6056,703.3918,0.9207288,1081.8793,692.6199,
246,946.23865,672.1029,0.8202347,1021.41406,632.7432,0.73601776,974.0084,679.7483,0.67968553,1142.9232,703.233,0.6445107,1157.5631,703.1127,0.9221954,1080.9918,692.48914,
247,945.73785,671.36865,0.801347,1021.0377,631.94794,0.75455594,973.6592,678.90375,0.6570098,1142.4559,702.94574,0.6035973,1156.9658,702.89514,0.92173976,1080.4513,692.05005,
248,944.283,670.5674,0.7496353,1020.8,631.1704,0.7921553,973.4706,678.1371,0.6457031,1142.1862,702.926,0.5710439,1156.5989,702.91595,0.91511965,1081.7308,692.07245,
249,943.24347,670.2262,0.7350537,1020.5006,630.58984,0.818256,970.0738,679.3782,0.663436,1141.7651,702.8486,0.5025583,1156.1791,702.64435,0.9064978,1079.801,691.5785,
250,939.4397,671.57513,0.73689306,1019.9518,631.5128,0.78787947,968.60223,679.54376,0.6897537,1141.3928,701.68365,0.5756355,1155.6477,701.9321,0.9032212,1080.04,691.7717,
251,939.1912,670.75464,0.75789756,1019.8103,631.0876,0.80376124,967.79987,679.1897,0.71917075,1140.7954,701.53784,0.66373444,1155.0376,701.4737,0.9124147,1080.8992,691.517,
252,939.1643,670.4209,0.7684482,1018.9859,630.51184,0.81582934,967.2681,678.9128,0.73262423,1140.2521,701.0539,0.716872,1153.482,700.9169,0.90876853,1080.7294,691.1694,
